insectcode,indb
INSECTGUA_0053,y
INSECTGUA_0310,y
INSECTGUA_0419,y
INSECTGUA_0441,y
INSECTGUA_0446,y
INSECTGUA_0472,y
INSECTGUA_0662,y
INSECTGUA_0735,y
INSECTGUA_1101,y
INSECTGUA_1110,y
INSECTGUA_1133,y
INSECTGUA_1138,y
INSECTGUA_1140,y
INSECTGUA_1146,y
INSECTGUA_1148,y
INSECTGUA_1151,y
INSECTGUA_1224,y
INSECTGUA_1251,y
INSECTGUA_1281,y
INSECTGUA_1287,y
INSECTGUA_1291,y
INSECTGUA_1296,y
INSECTGUA_1463,y
INSECTGUA_1484,y
INSECTGUA_1494,y
INSECTGUA_1509,y
INSECTGUA_1732,y
INSECTGUA_1737,y
INSECTGUA_1738,y
INSECTGUA_1740,y
INSECTGUA_1741,y
INSECTGUA_1742,y
INSECTGUA_1746,y
INSECTGUA_1753,y
INSECTGUA_1754,y
INSECTGUA_1756,y
INSECTGUA_1792,y
INSECTGUA_1798,y
INSECTGUA_1799,y
INSECTGUA_1801,y
INSECTGUA_1802,y
INSECTGUA_1805,y
INSECTGUA_1806,y
INSECTGUA_1808,n
INSECTGUA_1815,y
INSECTGUA_1816,y
INSECTGUA_1817,y
INSECTGUA_1818,y
INSECTGUA_1819,y
INSECTGUA_1820,y
INSECTGUA_1825,y
INSECTGUA_1826,y
INSECTGUA_1827,y
INSECTGUA_1829,y
INSECTGUA_1836,y
INSECTGUA_1866,y
INSECTGUA_1946,y
INSECTGUA_1970,y
INSECTGUA_2007,y
INSECTGUA_2039,y
INSECTGUA_2103,y
INSECTGUA_2104,y
INSECTGUA_2105,y
INSECTGUA_2106,y
INSECTGUA_2107,y
INSECTGUA_2108,y
INSECTGUA_2109,y
INSECTGUA_2110,y
INSECTGUA_2111,y
INSECTGUA_2112,y
INSECTGUA_2113,y
INSECTGUA_2114,y
INSECTGUA_2115,y
INSECTGUA_2116,y
INSECTGUA_2117,y
INSECTGUA_2118,y
INSECTGUA_2119,y
INSECTGUA_2120,y
INSECTGUA_2121,y
INSECTGUA_2199,y
INSECTGUA_2221,y
INSECTGUA_2222,y
INSECTGUA_2223,y
INSECTGUA_2224,y
INSECTGUA_2228,y
INSECTGUA_2231,y
INSECTGUA_2232,y
INSECTGUA_2233,y
INSECTGUA_2234,y
INSECTGUA_2235,y
INSECTGUA_2332,y
INSECTGUA_2333,y
INSECTGUA_2334,y
INSECTGUA_2335,y
INSECTGUA_2336,y
INSECTGUA_2337,y
INSECTGUA_2338,y
INSECTGUA_2339,y
INSECTGUA_2340,y
INSECTGUA_2341,y
INSECTGUA_2342,y
INSECTGUA_2343,y
INSECTGUA_2344,y
INSECTGUA_2345,y
INSECTGUA_2346,y
INSECTGUA_2347,y
INSECTGUA_2348,y
INSECTGUA_2349,y
INSECTGUA_2350,y
INSECTGUA_2351,y
INSECTGUA_2352,y
INSECTGUA_2353,y
INSECTGUA_2354,y
INSECTGUA_2355,y
INSECTGUA_2356,y
INSECTGUA_2357,y
INSECTGUA_2358,y
INSECTGUA_2359,y
INSECTGUA_2360,y
INSECTGUA_2361,y
INSECTGUA_2362,y
INSECTGUA_2363,y
INSECTGUA_2364,y
INSECTGUA_2365,y
INSECTGUA_2366,y
INSECTGUA_2367,y
INSECTGUA_2368,y
INSECTGUA_2369,y
INSECTGUA_2370,y
INSECTGUA_2371,y
INSECTGUA_2372,y
INSECTGUA_2379,y
INSECTGUA_2380,y
INSECTGUA_2381,y
INSECTGUA_2382,y
INSECTGUA_2383,y
INSECTGUA_2384,y
INSECTGUA_2385,y
INSECTGUA_2386,y
INSECTGUA_2387,y
INSECTGUA_2388,y
INSECTGUA_2389,y
INSECTGUA_2390,y
INSECTGUA_2391,y
INSECTGUA_2392,y
INSECTGUA_2393,y
INSECTGUA_2514,y
INSECTGUA_2523,y
INSECTGUA_2524,y
INSECTGUA_2525,y
INSECTGUA_2526,y
INSECTGUA_2530,y
INSECTGUA_2539,y
INSECTGUA_2540,y
INSECTGUA_2541,y
INSECTGUA_2542,y
INSECTGUA_2552,y
INSECTGUA_2553,y
INSECTGUA_2554,y
INSECTGUA_2557,y
INSECTGUA_2558,y
INSECTGUA_2560,y
INSECTGUA_2561,y
INSECTGUA_2562,y
INSECTGUA_2563,y
INSECTGUA_2564,y
INSECTGUA_2565,y
INSECTGUA_2566,y
INSECTGUA_2567,y
INSECTGUA_2568,y
INSECTGUA_2569,y
INSECTGUA_2570,y
INSECTGUA_2571,y
INSECTGUA_2572,y
INSECTGUA_2573,y
INSECTGUA_2574,y
INSECTGUA_2575,y
INSECTGUA_2576,y
INSECTGUA_2577,y
INSECTGUA_2578,y
INSECTGUA_2579,y
INSECTGUA_2580,y
INSECTGUA_2581,y
INSECTGUA_2582,y
INSECTGUA_2583,y
INSECTGUA_2584,y
INSECTGUA_2585,y
INSECTGUA_2586,y
INSECTGUA_2587,y
INSECTGUA_2588,y
INSECTGUA_2589,y
INSECTGUA_2590,y
INSECTGUA_2591,y
INSECTGUA_2592,y
INSECTGUA_2593,y
INSECTGUA_2594,y
INSECTGUA_2595,y
INSECTGUA_2596,y
INSECTGUA_2597,y
INSECTGUA_2598,y
INSECTGUA_2599,y
INSECTGUA_2600,y
INSECTGUA_2623,y
INSECTGUA_2624,y
INSECTGUA_2625,y
INSECTGUA_2626,y
INSECTGUA_2627,y
INSECTGUA_2628,y
INSECTGUA_2629,y
INSECTGUA_2630,y
INSECTGUA_2631,y
INSECTGUA_2632,y
INSECTGUA_2633,y
INSECTGUA_2634,y
INSECTGUA_2635,y
INSECTGUA_2636,y
INSECTGUA_2637,y
INSECTGUA_2638,y
INSECTGUA_2639,y
INSECTGUA_2640,y
INSECTGUA_2641,y
INSECTGUA_2642,y
INSECTGUA_2643,y
INSECTGUA_2644,y
INSECTGUA_2645,y
INSECTGUA_2646,y
INSECTGUA_2647,y
INSECTGUA_2648,y
INSECTGUA_2649,y
INSECTGUA_2650,y
INSECTGUA_2651,y
INSECTGUA_2652,y
INSECTGUA_2653,y
INSECTGUA_2654,y
INSECTGUA_2655,y
INSECTGUA_2656,y
INSECTGUA_2657,y
INSECTGUA_2658,y
INSECTGUA_2659,y
INSECTGUA_2660,y
INSECTGUA_2661,y
INSECTGUA_2662,y
INSECTGUA_2663,y
INSECTGUA_2664,y
INSECTGUA_2665,y
INSECTGUA_2666,y
INSECTGUA_2667,y
INSECTGUA_2668,y
INSECTGUA_2669,y
INSECTGUA_2670,y
INSECTGUA_2671,y
INSECTGUA_2672,y
INSECTGUA_2673,y
INSECTGUA_2674,y
INSECTGUA_2675,y
INSECTGUA_2676,y
INSECTGUA_2677,y
INSECTGUA_2678,y
INSECTGUA_2679,y
INSECTGUA_2680,y
INSECTGUA_2681,y
INSECTGUA_2682,y
INSECTGUA_2683,y
INSECTGUA_2684,y
INSECTGUA_2685,y
INSECTGUA_2686,y
INSECTGUA_2687,y
INSECTGUA_2688,y
INSECTGUA_2689,y
INSECTGUA_2690,y
INSECTGUA_2691,y
INSECTGUA_2692,y
INSECTGUA_2693,y
INSECTGUA_2694,y
INSECTGUA_2695,y
INSECTGUA_2696,y
INSECTGUA_2697,y
INSECTGUA_2698,y
INSECTGUA_2699,y
INSECTGUA_2700,y
INSECTGUA_2701,y
INSECTGUA_2702,y
INSECTGUA_2703,y
INSECTGUA_2704,y
INSECTGUA_2705,y
INSECTGUA_2705,y
INSECTGUA_2706,y
INSECTGUA_2707,y
INSECTGUA_2708,y
INSECTGUA_2709,y
INSECTGUA_2710,y
INSECTGUA_2711,y
INSECTGUA_2712,y
INSECTGUA_2714,y
INSECTGUA_2715,y
INSECTGUA_2716,y
INSECTGUA_2717,y
INSECTGUA_2718,y
INSECTGUA_2719,y
INSECTGUA_2720,y
INSECTGUA_2721,y
INSECTGUA_2722,y
INSECTGUA_2723,y
INSECTGUA_2724,y
INSECTGUA_2725,y
INSECTGUA_2726,y
INSECTGUA_2727,y
INSECTGUA_2728,y
INSECTGUA_2729,y
INSECTGUA_2730,y
INSECTGUA_2731,y
INSECTGUA_2732,y
INSECTGUA_2733,y
INSECTGUA_2734,y
INSECTGUA_2735,y
INSECTGUA_2736,y
INSECTGUA_2737,y
INSECTGUA_2738,y
INSECTGUA_2739,y
INSECTGUA_2740,y
INSECTGUA_2741,y
INSECTGUA_2742,y
INSECTGUA_2743,y
INSECTGUA_2744,y
INSECTGUA_2745,y
INSECTGUA_2746,y
INSECTGUA_2747,y
INSECTGUA_2748,y
INSECTGUA_2749,y
INSECTGUA_2750,y
INSECTGUA_2751,y
INSECTGUA_2752,y
INSECTGUA_2753,y
INSECTGUA_2754,y
INSECTGUA_2755,y
INSECTGUA_2756,y
INSECTGUA_2757,y
INSECTGUA_2758,y
INSECTGUA_2759,y
INSECTGUA_2760,y
INSECTGUA_2761,y
INSECTGUA_2762,y
INSECTGUA_2763,y
INSECTGUA_2764,y
INSECTGUA_2765,y
INSECTGUA_2766,y
INSECTGUA_2767,y
INSECTGUA_2768,y
INSECTGUA_2769,y
INSECTGUA_2770,y
INSECTGUA_2771,y
INSECTGUA_2772,y
INSECTGUA_2773,y
INSECTGUA_2774,y
INSECTGUA_2775,y
INSECTGUA_2776,y
INSECTGUA_2777,y
INSECTGUA_2778,y
INSECTGUA_2779,y
INSECTGUA_2780,y
INSECTGUA_2781,y
INSECTGUA_2782,y
INSECTGUA_2783,y
INSECTGUA_2784,y
INSECTGUA_2785,y
INSECTGUA_2786,y
INSECTGUA_2787,y
INSECTGUA_2788,y
INSECTGUA_2789,y
INSECTGUA_2790,y
INSECTGUA_2791,y
INSECTGUA_2792,y
INSECTGUA_2793,y
INSECTGUA_2794,y
INSECTGUA_2795,y
INSECTGUA_2796,y
INSECTGUA_2797,y
INSECTGUA_2798,y
INSECTGUA_2799,y
INSECTGUA_2800,y
INSECTGUA_2801,y
INSECTGUA_2802,y
INSECTGUA_2803,y
INSECTGUA_2804,y
INSECTGUA_2805,y
INSECTGUA_2806,y
INSECTGUA_2807,y
INSECTGUA_2808,y
INSECTGUA_2809,y
INSECTGUA_2810,y
INSECTGUA_2811,y
INSECTGUA_2812,y
INSECTGUA_2813,y
INSECTGUA_2814,y
INSECTGUA_2815,y
INSECTGUA_2816,y
INSECTGUA_2817,y
INSECTGUA_2818,y
INSECTGUA_2819,y
INSECTGUA_2821,y
INSECTGUA_2822,y
INSECTGUA_2824,y
INSECTGUA_2825,y
INSECTGUA_2826,y
INSECTGUA_2827,y
INSECTGUA_2828,y
INSECTGUA_2829,y
INSECTGUA_2830,y
INSECTGUA_2831,y
INSECTGUA_2832,y
INSECTGUA_2835,y
INSECTGUA_2836,y
INSECTGUA_2837,y
INSECTGUA_2838,y
INSECTGUA_2842,y
INSECTGUA_2843,y
INSECTGUA_2844,y
INSECTGUA_2845,y
INSECTGUA_2846,y
INSECTGUA_2847,y
INSECTGUA_2848,y
INSECTGUA_2849,y
INSECTGUA_2850,y
INSECTGUA_2851,y
INSECTGUA_2852,y
INSECTGUA_2853,y
INSECTGUA_2854,y
INSECTGUA_2857,y
INSECTGUA_2860,y
INSECTGUA_2861,y
INSECTGUA_2862,y
INSECTGUA_2863,y
INSECTGUA_2864,y
INSECTGUA_2865,y
INSECTGUA_2866,y
INSECTGUA_2867,y
INSECTGUA_2868,y
INSECTGUA_2869,y
INSECTGUA_2870,y
INSECTGUA_2871,y
INSECTGUA_2872,y
INSECTGUA_2873,y
INSECTGUA_2874,y
INSECTGUA_2875,y
INSECTGUA_2876,y
INSECTGUA_2877,y
INSECTGUA_2878,y
INSECTGUA_2879,y
INSECTGUA_2880,y
INSECTGUA_2881,y
INSECTGUA_2882,y
INSECTGUA_2883,y
INSECTGUA_2884,y
INSECTGUA_2885,y
INSECTGUA_2886,y
INSECTGUA_2887,y
INSECTGUA_2888,y
INSECTGUA_2889,y
INSECTGUA_2890,y
INSECTGUA_2891,y
INSECTGUA_2892,y
INSECTGUA_2893,y
INSECTGUA_2894,y
INSECTGUA_2895,y
INSECTGUA_2896,y
INSECTGUA_2897,y
INSECTGUA_2898,y
INSECTGUA_2899,y
INSECTGUA_2900,y
INSECTGUA_2901,y
INSECTGUA_2902,y
INSECTGUA_2903,y
INSECTGUA_2904,y
INSECTGUA_2905,y
INSECTGUA_2906,y
INSECTGUA_2907,y
INSECTGUA_2908,y
INSECTGUA_2909,y
INSECTGUA_2910,y
INSECTGUA_2911,y
INSECTGUA_2912,y
INSECTGUA_2913,y
INSECTGUA_2914,y
INSECTGUA_2915,y
INSECTGUA_2916,y
INSECTGUA_2917,y
INSECTGUA_2918,y
INSECTGUA_2919,y
INSECTGUA_2920,y
INSECTGUA_2921,y
INSECTGUA_2922,y
INSECTGUA_2923,y
INSECTGUA_2924,y
INSECTGUA_2925,y
INSECTGUA_2926,y
INSECTGUA_2927,y
INSECTGUA_2928,y
INSECTGUA_2929,y
INSECTGUA_2930,y
INSECTGUA_2931,y
INSECTGUA_2932,y
INSECTGUA_2933,y
INSECTGUA_2934,y
INSECTGUA_2935,y
INSECTGUA_2936,y
INSECTGUA_2937,y
INSECTGUA_2938,y
INSECTGUA_2939,y
INSECTGUA_2940,y
INSECTGUA_2941,y
INSECTSAI_1131,y
INSECTSAI_1138,y
INSECTSAI_1292,y
INSECTSAI_1311,y
INSECTSAI_1317,y
INSECTSAI_1318,y
INSECTSAI_1471,y
INSECTSAI_1545,y
INSECTSAI_1553,y
INSECTSAI_1572,y
INSECTSAI_1723,y
INSECTSAI_2074,y
INSECTSAI_2131,y
INSECTSAI_2154,y
INSECTSAI_2155,y
INSECTSAI_2334,y
INSECTSAI_2335,y
INSECTSAI_2336,y
INSECTSAI_2337,y
INSECTSAI_2338,y
INSECTSAI_2339,y
INSECTSAI_2340,y
INSECTSAI_2341,y
INSECTSAI_2342,y
INSECTSAI_2343,y
INSECTSAI_2344,y
INSECTSAI_2345,y
INSECTSAI_2346,y
INSECTSAI_2347,y
INSECTSAI_2348,y
INSECTSAI_2557,y
INSECTSAI_2623,y
INSECTSAI_2624,y
INSECTSAI_2625,y
INSECTSAI_2626,y
INSECTSAI_2627,y
INSECTSAI_2628,y
INSECTSAI_2629,y
INSECTSAI_2630,y
INSECTSAI_2631,y
INSECTSAI_2632,y
INSECTSAI_2633,y
INSECTSAI_2634,y
INSECTSAI_2635,y
INSECTSAI_2636,y
INSECTSAI_2721,n
INSECTSAI_2723,n
INSECTSAI_2725,y
INSECTSAI_2726,n
INSECTSAI_2746,n
INSECTSAI_2751,n
INSECTSAI_2753,y
INSECTSAI_2757,n
INSECTSAI_2758,n
INSECTSAI_2763,n
INSECTSAI_2774,y
INSECTSAI_2816,y
INSECTSAI_2817,y
INSECTSAI_2864,y
INSECTSAI_2865,y
INSECTSAI_2866,y
INSECTSAI_2867,y
INSECTSAI_2868,y
INSECTSAI_2869,y
INSECTSAI_2870,y
INSECTSAI_2884,y
INSECTSAI_2887,n
INSECTSAI_2908,n
INSECTSAI_3323,n
